Date,Wheat,month,year
,($/mt),,
1/1/1960,59.89,January,1960
2/1/1960,60.99,February,1960
3/1/1960,61.73,March,1960
4/1/1960,60.99,April,1960
5/1/1960,57.69,May,1960
6/1/1960,55.48,June,1960
7/1/1960,54.75,July,1960
8/1/1960,55.12,August,1960
9/1/1960,56.59,September,1960
10/1/1960,56.95,October,1960
11/1/1960,57.69,November,1960
12/1/1960,58.05,December,1960
1/1/1961,58.79,January,1961
2/1/1961,59.16,February,1961
3/1/1961,58.05,March,1961
4/1/1961,57.32,April,1961
5/1/1961,55.85,May,1961
6/1/1961,54.38,June,1961
7/1/1961,56.59,July,1961
8/1/1961,58.79,August,1961
9/1/1961,59.89,September,1961
10/1/1961,60.26,October,1961
11/1/1961,61.73,November,1961
12/1/1961,62.46,December,1961
1/1/1962,60.63,January,1962
2/1/1962,61.36,February,1962
3/1/1962,61.73,March,1962
4/1/1962,62.1,April,1962
5/1/1962,63.57,May,1962
6/1/1962,64.3,June,1962
7/1/1962,65.4,July,1962
8/1/1962,66.51,August,1962
9/1/1962,65.77,September,1962
10/1/1962,64.3,October,1962
11/1/1962,68.71,November,1962
12/1/1962,67.61,December,1962
1/1/1963,67.24,January,1963
2/1/1963,68.34,February,1963
3/1/1963,69.45,March,1963
4/1/1963,70.92,April,1963
5/1/1963,67.61,May,1963
6/1/1963,58.42,June,1963
7/1/1963,57.69,July,1963
8/1/1963,58.42,August,1963
9/1/1963,60.63,September,1963
10/1/1963,65.04,October,1963
11/1/1963,65.04,November,1963
12/1/1963,65.04,December,1963
1/1/1964,64.04,January,1964
2/1/1964,66.14,February,1964
3/1/1964,66.87,March,1964
4/1/1964,67.61,April,1964
5/1/1964,69.45,May,1964
6/1/1964,65.04,June,1964
7/1/1964,68.71,July,1964
8/1/1964,68.71,August,1964
9/1/1964,69.08,September,1964
10/1/1964,68.71,October,1964
11/1/1964,67.98,November,1964
12/1/1964,67.98,December,1964
1/1/1965,66.14,January,1965
2/1/1965,61.36,February,1965
3/1/1965,60.99,March,1965
4/1/1965,59.89,April,1965
5/1/1965,59.16,May,1965
6/1/1965,58.05,June,1965
7/1/1965,57.32,July,1965
8/1/1965,57.69,August,1965
9/1/1965,58.42,September,1965
10/1/1965,58.05,October,1965
11/1/1965,58.05,November,1965
12/1/1965,58.42,December,1965
1/1/1966,58.42,January,1966
2/1/1966,58.79,February,1966
3/1/1966,58.79,March,1966
