,War,Start Year,End Year,Start Date,End Date
0,Russo-Ukrainian War,2014,2024,2014-01-01,2024-01-01
1,Sectarian Conflict in the Central African Republic,2012,2022,2012-01-01,2022-01-01
2,Syrian civil war,2011,2022,2011-01-01,2022-01-01
3,Somalia Civil War,2006,2022,2006-01-01,2022-01-01
4,South Sudanese Civil War,2011,2017,2011-01-01,2017-01-01
5,Libyan Civil War,2011,2017,2011-01-01,2017-01-01
6,"Nigeria, Chad, Niger and Cameroon vs Boko Haram (ISWAP)",2009,2017,2009-01-01,2017-01-01
7,Yemeni Civil War,2009,2017,2009-01-01,2017-01-01
8,Waziristan conflict,2007,2017,2007-01-01,2017-01-01
9,Lou Nuer vs Murle (Jonglei conflict),2006,2017,2006-01-01,2017-01-01
10,Kivu Conflict,2004,2017,2004-01-01,2017-01-01
11,Iraqi Insurgency,2004,2017,2004-01-01,2017-01-01
12,Mexican Drug War,2004,2017,2004-01-01,2017-01-01
13,Islamic State in Iraq and the Levant,2003,2017,2003-01-01,2017-01-01
14,al-Qaida vs USA and allies,2001,2017,2001-01-01,2017-01-01
15,Afghanistan war,2001,2017,2001-01-01,2017-01-01
16,"Russia vs Chechnyan Secessionists, the Caucasus Emirate, IS",1993,2017,1993-01-01,2017-01-01
17,Indian Govt vs Maoist Guerillas,1991,2017,1991-01-01,2017-01-01
18,"Algeria Govt vs Islamic rebels, GIA, AIS, AQIM",1991,2017,1991-01-01,2017-01-01
19,Nagorno-Karabakh War,1990,2017,1990-01-01,2017-01-01
20,Northern Mali Conflict,1990,2017,1990-01-01,2017-01-01
21,Turkey Gov vs Kurdistan Guerilla (PPK),1984,2017,1984-01-01,2017-01-01
22,Indian-Pakistani Dispute and Intrastate Insurgency in Kashmir,1984,2017,1984-01-01,2017-01-01
23,Sudan Government vs Militias,1983,2017,1983-01-01,2017-01-01
24,Uganda Civil War,1980,2017,1980-01-01,2017-01-01
25,Ethiopia vs Oromia rebels (OLF),1977,2017,1977-01-01,2017-01-01
26,Philippines Govt vs Mindanao Guerillas,1970,2017,1970-01-01,2017-01-01
27,Philippine Government vs CPP Guerrilla,1969,2017,1969-01-01,2017-01-01
28,Israel vs Palestine,1949,2017,1949-01-01,2017-01-01
29,Burmese Government vs Separatist Guerillas,1948,2017,1948-01-01,2017-01-01
30,Mozambique Govt vs RENAMO and FRELIMO,1977,2016,1977-01-01,2016-01-01
31,Ethiopian Govt vs Ogadeni Rebels - WSLF/ONLF/AIAI,1976,2016,1976-01-01,2016-01-01
32,Colombia Govt vs Guerillas Farc and ELN,1964,2016,1964-01-01,2016-01-01
33,Tajikistan Govt vs Opposition,1992,2011,1992-01-01,2011-01-01
34,"Iran vs rebel groups (MEK,PJAK etc)",1979,2011,1979-01-01,2011-01-01
35,Chad Civil War,1966,2010,1966-01-01,2010-01-01
36,Peruvian Gvt vs Sendero Luminoso and MRTA,1965,2010,1965-01-01,2010-01-01
37,Sri Lankan Govt vs Tamil Militants (LTTE),1984,2009,1984-01-01,2009-01-01
38,Burundi Civil War,1991,2008,1991-01-01,2008-01-01
39,Georgia civil war and South Ossetia and Abkhazia conflict,1991,2008,1991-01-01,2008-01-01
40,Nepal Civil War,1996,2006,1996-01-01,2006-01-01
41,Southern Lebanon War,1990,2006,1990-01-01,2006-01-01
42,Indonesia Gvt vs Aceh Liberation movement,1990,2005,1990-01-01,2005-01-01
43,Civil War in Côte d Ivoire,2002,2004,2002-01-01,2004-01-01
44,Ituri Conflict,1999,2004,1999-01-01,2004-01-01
45,Iraq vs US led coalition,2003,2003,2003-01-01,2003-01-01
46,Liberia Civil War,1989,2003,1989-01-01,2003-01-01
47,First and Second Congo Wars,1996,2002,1996-01-01,2002-01-01
48,Congo Brazzaville Civil War,1993,2002,1993-01-01,2002-01-01
49,Angolan Gvt vs UNITA Guerilla,1975,2002,1975-01-01,2002-01-01
50,Eritrea vs Ethiopia,2000,2000,2000-01-01,2000-01-01
51,Sierra Leone Civil War,1991,2000,1991-01-01,2000-01-01
52,Afghanistan Civil War,1978,2000,1978-01-01,2000-01-01
