Date,"Wheat, US HRW",Gold,"Rice, Thai 5% ","Tea, avg 3 auctions","Coffee, Arabica"
1960-01-01,59.89,35.27,104.45,1.03,0.94
1960-02-01,60.99,35.27,103.54,1.03,0.95
1960-03-01,61.73,35.27,103.79,1.03,0.93
1960-04-01,60.99,35.27,100.97,1.03,0.93
1960-05-01,57.69,35.27,102.15,1.03,0.92
1960-06-01,55.48,35.27,103.13,1.03,0.91
1960-07-01,54.75,35.27,102.05,1.03,0.92
1960-08-01,55.12,35.27,109.71,1.03,0.93
1960-09-01,56.59,35.27,116.1,1.03,0.92
1960-10-01,56.95,35.27,115.21,1.03,0.92
1960-11-01,57.69,35.27,114.43,1.03,0.91
1960-12-01,58.05,35.27,112.66,1.03,0.9
1961-01-01,58.79,35.25,113.47,0.95,0.91
1961-02-01,59.16,35.25,109.52,0.95,0.92
1961-03-01,58.05,35.25,117.65,0.95,0.91
1961-04-01,57.32,35.25,115.17,0.95,0.9
1961-05-01,55.85,35.25,119.42,0.95,0.89
1961-06-01,54.38,35.25,121.4,0.95,0.89
1961-07-01,56.59,35.25,123.41,0.95,0.89
1961-08-01,58.79,35.25,119.63,0.95,0.89
1961-09-01,59.89,35.25,118.99,0.95,0.89
1961-10-01,60.26,35.25,120.32,0.95,0.89
1961-11-01,61.73,35.25,128.32,0.95,0.88
1961-12-01,62.46,35.25,120.1,0.95,0.88
1962-01-01,60.63,35.23,117.79,0.97,0.88
1962-02-01,61.36,35.23,119.18,0.97,0.88
1962-03-01,61.73,35.23,123.75,0.97,0.86
1962-04-01,62.1,35.23,130.84,0.97,0.85
1962-05-01,63.57,35.23,149.14,0.97,0.83
1962-06-01,64.3,35.23,144.11,0.97,0.8
1962-07-01,65.4,35.23,144.22,0.97,0.81
1962-08-01,66.51,35.23,142.92,0.97,0.82
1962-09-01,65.77,35.23,140.64,0.97,0.83
1962-10-01,64.3,35.23,142.95,0.97,0.81
1962-11-01,68.71,35.23,142.5,0.97,0.81
1962-12-01,67.61,35.23,121.07,0.97,0.82
1963-01-01,67.24,35.09,121.77,0.95,0.83
1963-02-01,68.34,35.09,123.35,0.95,0.8
1963-03-01,69.45,35.09,123.28,0.95,0.81
1963-04-01,70.92,35.09,122.38,0.95,0.81
1963-05-01,67.61,35.09,123.17,0.95,0.8
1963-06-01,58.42,35.09,128.13,0.95,0.8
1963-07-01,57.69,35.09,130.63,0.95,0.81
1963-08-01,58.42,35.09,129.86,0.95,0.8
1963-09-01,60.63,35.09,130.29,0.95,0.8
1963-10-01,65.04,35.09,128.72,0.95,0.8
1963-11-01,65.04,35.09,124.84,0.95,0.81
1963-12-01,65.04,35.09,121.54,0.95,0.8
1964-01-01,64.04,35.1,124.01,0.93,0.93
1964-02-01,66.14,35.1,119.06,0.93,0.94
1964-03-01,66.87,35.1,115.11,0.93,1.04
1964-04-01,67.61,35.1,116.89,0.93,1.0
1964-05-01,69.45,35.1,117.02,0.93,1.02
1964-06-01,65.04,35.1,119.18,0.93,1.01
1964-07-01,68.71,35.1,122.61,0.93,1.02
1964-08-01,68.71,35.1,122.92,0.93,1.05
1964-09-01,69.08,35.1,123.44,0.93,1.04
1964-10-01,68.71,35.1,121.48,0.93,1.04
1964-11-01,67.98,35.1,120.97,0.93,1.03
1964-12-01,67.98,35.1,119.08,0.93,1.01
1965-01-01,66.14,35.12,114.61,1.0,1.01
1965-02-01,61.36,35.12,115.94,1.0,1.04
1965-03-01,60.99,35.12,115.56,1.0,0.99
1965-04-01,59.89,35.12,113.29,1.0,0.97
1965-05-01,59.16,35.12,111.77,1.0,0.96
1965-06-01,58.05,35.12,110.88,1.0,0.98
1965-07-01,57.32,35.12,112.04,1.0,0.98
1965-08-01,57.69,35.12,116.92,1.0,1.0
1965-09-01,58.42,35.12,126.55,1.0,1.0
1965-10-01,58.05,35.12,126.65,1.0,1.01
1965-11-01,58.05,35.12,129.2,1.0,1.03
1965-12-01,58.42,35.12,132.06,1.0,1.03
1966-01-01,58.42,35.13,125.51,0.96,1.01
1966-02-01,58.79,35.13,124.79,0.96,0.97
